


User 33%, System 21%, IOW 0%, IRQ 0%
User 60 + Nice 0 + Sys 38 + Idle 80 + IOW 0 + IRQ 0 + SIRQ 0 = 178

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
18427  1  26% S    43 1789972K 180628K  fg u0_a233  com.idainizhuang.dnz.test
26699  0   8% R     1   5024K   1508K     shell    top
  207  1   0% S     1      0K      0K     root     msm_thermal:fre
  208  1   0% S     1      0K      0K     root     msm_thermal:the
  209  0   0% S     1      0K      0K     root     boost_sync/0
  210  1   0% S     1      0K      0K     root     boost_sync/1
  211  2   0% S     1      0K      0K     root     boost_sync/2
  212  3   0% S     1      0K      0K     root     boost_sync/3
  213  1   0% S     1      0K      0K     root     battery.93
  214  1   0% S     1      0K      0K     root     irq/631-battery
  215  0   0% S     1      0K      0K     root     wl_event_handle
  216  0   0% S     1      0K      0K     root     dhd_watchdog_th
  217  0   0% S     1      0K      0K     root     dhd_dpc
  218  0   0% S     1      0K      0K     root     dhd_rxf
  219  0   0% S     1   4024K   1404K     root     /sbin/ueventd
  220  0   0% S     1      0K      0K     root     irq/367-chgin-i
  221  0   0% S     1      0K      0K     root     irq/362-battery
  224  0   0% S     1      0K      0K     root     jbd2/mmcblk0p24
  225  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  227  0   0% S     1      0K      0K     root     jbd2/mmcblk0p27
  228  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  230  0   0% S     1      0K      0K     root     jbd2/mmcblk0p25
  231  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  233  0   0% S     1      0K      0K     root     jbd2/mmcblk0p22
  234  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  236  2   0% S     1      0K      0K     root     jbd2/mmcblk0p11
  237  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  239  0   0% S     1      0K      0K     root     jbd2/mmcblk0p23
  240  0   0% S     1      0K      0K     root     ext4-dio-unwrit
  251  0   0% S     1      0K      0K     root     IPCRTR
  254  0   0% S     1      0K      0K     root     ipc_rtr_q6_ipcr
  255  0   0% S     4  10060K    916K     logd     /system/bin/logd
  256  0   0% S     1   3704K    344K  fg root     /sbin/healthd
  258  0   0% S     1   4424K   1084K     root     /system/bin/lmkd
  259  0   0% S     1   4860K   1708K     system   /system/bin/servicemanager
  265  0   0% S     2   6020K    924K     system   /system/bin/rfs_access
  269  0   0% S     1   6568K   1872K     system   /system/bin/qseecomd
  271  0   0% S     2   4448K    544K     vibe     /system/bin/immvibed
  272  0   0% S     1      0K      0K     root     msm_slim_qmi_cl
  273  0   0% S     1      0K      0K     root     msm_qmi_rtx_q
  280  0   0% S     5  12632K    960K     nobody   /system/bin/rmt_storage
  281  0   0% S     1   5084K   1144K     system   /system/bin/edmaudit
  283  0   0% S     1   5200K   1240K     system   /system/bin/drsd
  284  0   0% S     9  28620K   2172K     root     /system/bin/netd
  285  0   0% S     1   5160K   1208K     root     /system/bin/debuggerd
  286  0   0% S     1    216K      4K     root     /system/bin/debuggerd64
  288  0   0% S    13  35496K   6112K     radio    /system/bin/rild
  289  0   0% S     9  29348K   6148K     radio    /system/bin/rild
  290  0   0% S     1   2540K    108K     radio    /sbin/cbd
  291  0   0% S     5   7524K    768K     system   ddexereal
  292  0   0% S     4   8444K   1140K     system   /system/bin/smdexe
  293  0   0% S     1   5688K   1668K     system   /system/bin/connfwexe
  294  0   0% S     7  16396K   1152K     system   /system/bin/ss_conn_daemon
  295  0   0% S     3  25064K   7452K  fg drm      /system/bin/drmserver
  296  0   0% S     9 153164K  27212K  fg media    /system/bin/mediaserver
  297  0   0% S     2  15836K   4728K  fg jack     /system/bin/apaservice
  298  0   0% S     2  15160K   4252K  fg jack     /system/bin/jackservice
  299  0   0% S     1   4780K   1408K     install  /system/bin/installd
  302  0   0% S     1   7064K   2480K  fg keystore /system/bin/keystore
  304  3   0% S     4  11376K   1940K  fg system   /system/bin/sensorhubservice
  305  0   0% S     3   8016K   1400K     system   /system/bin/npsmobex
  310  0   0% S     3  93928K  19788K     camera   /system/bin/mm-qcamera-daemon
  311  0   0% S    42  63060K   1584K     root     /system/bin/thermal-engine
  312  0   0% S     2   5452K    792K     media    /system/bin/adsprpcd
  314  1   0% S     2  14476K   3572K  fg system   /system/bin/bintvoutservice
  315  0   0% S     6 1552712K  95032K     root     zygote
  316  0   0% S     2   6024K   1240K     system   /system/bin/sdp_cryptod
  317  0   0% S     1      0K      0K     root     irq/288-wcd9xxx
  318  0   0% S     3  10860K   1916K     radio    /system/bin/at_distributor
  320  0   0% S     1   5928K   1620K     system   /system/bin/cnd
  322  0   0% S     1   3908K    896K     gps      /system/bin/loc_launcher
  324  0   0% S     4  11684K   1304K     system   /system/bin/ATFWD-daemon
  326  0   0% S     5  12404K   1288K     system   /system/bin/time_daemon
  327  0   0% S     3  16968K   4120K  fg system   /system/bin/audiod
  331  1   0% S     4  12456K   2432K     root     permmgrd
  338  0   0% S     8  20392K   3864K     root     emdaemon
  346  0   0% S    11  26964K   3248K     root     qthreadd
  376  0   0% S     1      0K      0K     root     jbd2/mmcblk0p26
  377  2   0% S     1      0K      0K     root     ext4-dio-unwrit
  385  2   0% S     9  21688K   1256K     radio    /system/bin/qmuxd
  387  0   0% S     1  11972K   4580K     system   /system/bin/secure_storage_daemon
  388  0   0% S     5  41000K   9448K     gps      /system/bin/gsiff_daemon
  390  3   0% S     1      0K      0K     root     pkgld
  465  0   0% S     7  12812K    908K     system   /system/bin/qseecomd
  493  2   0% Z     1      0K      0K     root     zygote
  516  0   0% S     1   3936K   1024K     system   /system/bin/cs
  538  0   0% S     7  11676K    800K     system   /system/bin/mcDriverDaemon
  539  0   0% S     2   7212K   1196K  fg jack     androidshmservice
  545  0   0% S     5  17548K   3308K     root     kworker/2:3
  546  1   0% S     1      0K      0K     root     mc_log
  578  0   0% S     4  13652K    724K     root     qblockd
  579  0   0% S     4  13652K    748K     root     qblockd
  610  1   0% D     1      0K      0K     root     mdss_fb0
  654  0   0% S     1      0K      0K     root     kworker/u:2H
  754  0   0% S     1      0K      0K     root     IPCRTR
  755  3   0% S     1      0K      0K     root     ipc_rtr_smd_ipc
  906  0   0% S     1      0K      0K     root     flush-179:0
  924  0   0% S     4  14248K    728K     root     360sguard
  926  0   0% S     4  14248K    728K     root     360sguard
 1219  0   0% S     2   7160K   1216K  fg system   /system/bin/tlc_server
 1220  0   0% S     2   7160K   1196K  fg system   /system/bin/tlc_server
 1281  0   0% S     1  11372K   6056K     wifi     /system/bin/wpa_supplicant
 1309  3   0% S    42 1775920K 200692K  fg u0_a69   com.android.systemui
 1354  2   0% S    15 1608984K  90508K  bg u0_a36   android.process.media
 1454  0   0% S     9 1565168K  78568K  fg u0_a110  com.sec.android.app.GlanceView
 1470  0   0% S     9 1602716K 104980K  fg u0_a69   com.android.systemui.imagewallpaper
 1514  0   0% S    13 1569664K  83300K  bg u0_a12   com.baidu.map.location
 1529  0   0% S    10 1558164K  71956K  bg u0_a42   com.sec.location.nsflp
 1548  3   0% S    11 1564236K  77120K  fg radio    com.android.server.telecom
 1556  0   0% S    28 1596424K  85576K  fg nfc      com.android.nfc
 1566  0   0% S    36 1613244K 101988K  fg radio    com.android.phone
 1589  3   0% S    17 1650840K 131296K  bg u0_a41   com.sec.android.app.launcher
 1651  0   0% S    12 1566744K  77876K  bg u0_a76   com.sec.android.daemonapp
 1672  0   0% S    10 1559276K  72728K  bg u0_a19   com.sec.android.provider.logsprovider
 1773  0   0% S    11 1560460K  72524K  fg smartcar org.simalliance.openmobileapi.service:remote
 1796  3   0% S    15 1631936K 130848K  bg system   com.samsung.inputmethod
 1832  0   0% S    12 1574140K  82660K  bg u0_a19   android.process.acore
 1860  0   0% S     1 1562020K  62240K  bg u0_a164  com.qihoo.permmgr
 2219  0   0% S     1      0K      0K     root     kauditd
 2238  0   0% S    10 1565176K  73220K  fg radio    com.android.incallui
 2380  0   0% S    13 1564232K  71656K  bg system   com.samsung.hs20settings
 2683  0   0% S    13 1582488K  83704K  bg u0_a6    com.vlingo.midas
 2737  0   0% S    11 1586608K  86356K  bg system   com.samsung.SMT
 2778  2   0% S    13 1592904K  87552K  bg u0_a19   com.android.contacts
 3069  0   0% S    39 1612376K  86976K  fg bluetoot com.android.bluetooth
 3106  0   0% S    11 1562364K  71588K  bg radio    com.sec.phone
 3419  0   0% S     9 1559732K  71436K  bg system   com.sec.android.service.sm
 3683  0   0% S    13 1571416K  79280K  bg system   com.policydm
 3839  0   0% S     9 1556952K  68456K  bg system   com.samsung.aasaservice
 4031  0   0% S    18 1579360K  93152K  bg system   com.samsung.android.securitylogagent
 4078  0   0% S    12 1574568K  76072K  bg u0_a186  com.sec.android.app.SmartClipService
 4131  0   0% S     9 1565956K  77064K  bg u0_a26   com.sec.android.pagebuddynotisvc
 4199  0   0% S    11 1561120K  69868K  bg system   com.qualcomm.telephony
 4257  3   0% S    12 1564352K  77316K  bg u0_a39   com.samsung.android.providers.context
 4520  0   0% S    10 1561592K  73232K  bg u0_a44   com.samsung.klmsagent
 4572  2   0% S    14 1578428K  79288K  bg system   com.samsung.android.sm
 4926  0   0% S    35 1626380K  95632K  bg u0_a111  tv.peel.samsung.app
 5040  3   0% S     9 1556936K  71052K  bg u0_a168  com.sec.android.app.SPenKeeper
 5205  0   0% S    13 1575364K  88756K  bg u0_a56   com.sec.spp.push
 5221  0   0% S    16 1577708K  83440K  bg u0_a56   com.sec.spp.push:RemoteDlcProcess
 5335  0   0% S    26 1587516K  78148K  fg u0_a53   com.samsung.android.app.galaxyfinder:tagService
 6141  0   0% S     1    616K    428K     root     stocbqhr
 7783  3   0% S    10 1573012K  76488K  bg u0_a65   com.sec.android.app.videoplayer
 8287  0   0% S    45 -2073584K 165904K  bg u0_a226  com.tencent.mm
 8400  0   0% S    28 1854252K 110872K  bg u0_a226  com.tencent.mm:push
10745  0   0% S     1   3464K    792K     dhcp     /system/bin/dhcpcd
16864  0   0% S    35 1633044K 106548K  fg u0_a222  com.ss.android.article.lite:push
16907  0   0% S    61 1671260K 114816K  bg u0_a222  com.ss.android.article.lite
16975  0   0% S    31 1618936K 104368K  fg u0_a222  com.ss.android.article.lite:pushservice
21857  1   0% S    19 1602808K  82652K  fg system   com.samsung.android.MtpApplication
21880  2   0% S    13 1605320K  88780K  bg u0_a1    com.sec.android.gallery3d
23175  0   0% S     1      0K      0K     root     irq/289-msm_sdc
23236  3   0% S    11 1588676K  93428K  bg u0_a61   com.android.mms
23260  2   0% S    10 1560284K  68320K  bg u0_a139  com.sec.android.widgetapp.digitalclock
23276  2   0% S     9 1560900K  70496K  bg u0_a141  com.sec.android.widgetapp.dualclockdigital
23294  0   0% S     9 1561704K  74360K  bg u0_a49   com.wsomacp
23310  2   0% S     9 1597072K  80924K  bg u0_a167  com.samsung.android.snote
23328  0   0% S    10 1590160K  74976K  bg u0_a167  com.samsung.android.snote:provider
23348  3   0% S     9 1556928K  68920K  bg u0_a176  com.sec.android.widgetapp.activeapplicationwidget
24497  2   0% S     1      0K      0K     root     kworker/u:2
24810  0   0% S     1      0K      0K     root     kworker/u:4
25442  0   0% S     1      0K      0K     root     kworker/0:0
26022  0   0% S     1      0K      0K     root     kworker/0:1
26074  0   0% S     1      0K      0K     root     kworker/0:1H
26444  0   0% S     1      0K      0K     root     kworker/u:1
26465  0   0% S     1      0K      0K     root     kworker/0:2
26740  3   0% S     1      0K      0K     root     migration/3
26741  3   0% S     1      0K      0K     root     kworker/3:0
26742  3   0% S     1      0K      0K     root     kworker/3:0H
26743  3   0% S     1      0K      0K     root     ksoftirqd/3
26744  2   0% S     1      0K      0K     root     migration/2
26745  2   0% S     1      0K      0K     root     kworker/2:0
26746  2   0% S     1      0K      0K     root     kworker/2:0H
26747  2   0% S     1      0K      0K     root     ksoftirqd/2
26748  3   0% S     1      0K      0K     root     kworker/3:1H
  181  1   0% S     1      0K      0K     root     max77803-charge
    2  0   0% S     1      0K      0K     root     kthreadd
    6  0   0% D     1      0K      0K     root     kworker/u:0
    7  0   0% D     1      0K      0K     root     kworker/u:0H
    8  0   0% S     1      0K      0K     root     migration/0
   21  1   0% S     1      0K      0K     root     khelper
   22  1   0% S     1      0K      0K     root     netns
   28  1   0% S     1      0K      0K     root     modem_notifier
   29  1   0% S     1      0K      0K     root     smd_channel_clo
   30  1   0% S     1      0K      0K     root     smsm_cb_wq
   32  1   0% S     1      0K      0K     root     rpm-smd
   33  0   0% S     1      0K      0K     root     kworker/u:1H
   34  1   0% S     1      0K      0K     root     subsys_panic_wq



User 31%, System 36%, IOW 2%, IRQ 0%
User 122 + Nice 0 + Sys 144 + Idle 117 + IOW 10 + IRQ 0 + SIRQ 0 = 393

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
  304  3  22% S     4  11376K   1940K  fg system   /system/bin/sensorhubservice
 1309  3  19% R    43 1796260K 202236K  fg u0_a69   com.android.systemui
18427  0   8% S    43 1789972K 180628K  fg u0_a233  com.idainizhuang.dnz.test
26699  1   3% R     1   5024K   1524K     shell    top
  261  2   3% S    16 147076K  12760K  fg system   /system/bin/surfaceflinger
 1105  2   3% S   145 1843896K 202720K  fg system   system_server
26444  3   1% S     1      0K      0K     root     kworker/u:1
 4137  0   1% S    15 1619260K 121352K  bg system   com.android.settings
 8400  2   1% S    28 1854252K 111384K  bg u0_a226  com.tencent.mm:push
 1566  1   1% S    36 1613244K 101988K  fg radio    com.android.phone
  389  0   0% S     5   9132K    244K     shell    /sbin/adbd
   39  1   0% S     1      0K      0K     root     system
25442  0   0% S     1      0K      0K     root     kworker/0:0
  259  0   0% S     1   4860K   1708K     system   /system/bin/servicemanager
24497  2   0% S     1      0K      0K     root     kworker/u:2
  289  0   0% S     9  29348K   6148K     radio    /system/bin/rild
   33  0   0% S     1      0K      0K     root     kworker/u:1H
  209  0   0% S     1      0K      0K     root     boost_sync/0
    1  0   0% S     1   4028K   1600K     root     /init
 2488  0   0% S     6  12096K    904K     root     /system/bin/mpdecision
  211  2   0% S     1      0K      0K     root     boost_sync/2
 8287  1   0% S    45 -2073584K 165904K  bg u0_a226  com.tencent.mm
  296  2   0% S     9 154188K  27476K  fg media    /system/bin/mediaserver
  610  2   0% D     1      0K      0K     root     mdss_fb0
  385  3   0% S     9  21688K   1256K     radio    /system/bin/qmuxd
 1589  0   0% S    17 1650840K 131296K  bg u0_a41   com.sec.android.app.launcher
    7  0   0% D     1      0K      0K     root     kworker/u:0H
    2  2   0% S     1      0K      0K     root     kthreadd
   53  1   0% S     1      0K      0K     root     irq/273-msm_iom
   54  1   0% S     1      0K      0K     root     irq/273-msm_iom
   55  1   0% S     1      0K      0K     root     irq/273-msm_iom
   56  1   0% S     1      0K      0K     root     irq/97-msm_iomm
